contactsaddressid,vanid,city_x,state_x,zip5,latitude_x,longitude_x,zip,city_y,state_y,latitude_y,longitude_y,timezone,daylight_savings_time_flag,geopoint
1686264,100673573,Knoxville,TN,37922,,,37922,Knoxville,TN,35.875925,-84.12608,-5,1,"35.875925, -84.12608"
545218,100551731,Pendleton,SC,29670,,,29670,Pendleton,SC,34.641851,-82.76668,-5,1,"34.641851, -82.76668"
1652810,101836470,Allen,TX,75013,,,75013,Allen,TX,33.106582,-96.69402,-6,1,"33.106582, -96.69402"
1679721,100602978,Auburn,MA,1501,,,1501,Auburn,MA,42.20361,-71.83843,-5,1,"42.20361, -71.83843"
1687505,100584945,Prairieville,LA,70769,,,70769,Prairieville,LA,30.31144,-90.93955,-6,1,"30.31144, -90.93955"
2302589,100738180,Chicago,IL,60614,,,60614,Chicago,IL,41.922682,-87.65432,-6,1,"41.922682, -87.65432"
579868,100586381,Georgetown,OH,43213,,,43213,Columbus,OH,39.966814,-82.87413,-5,1,"39.966814, -82.87413"
1684748,100845514,Tallahassee,FL,32312,,,32312,Tallahassee,FL,30.554434,-84.25979,-5,1,"30.554434, -84.25979"
1963665,102126944,Valencia,CA,91355,,,91355,Valencia,CA,34.406519,-118.56214,-8,1,"34.406519, -118.56214"
2186816,102339277,Birmingham,AL,35244,,,35244,Birmingham,AL,33.356981,-86.81577,-6,1,"33.356981, -86.81577"
2265645,101420628,Laurel,MD,20707,,,20707,Laurel,MD,39.098475,-76.86571,-5,1,"39.098475, -76.86571"
623636,100630149,Clayton,NC,27520,,,27520,Clayton,NC,35.635275,-78.4489,-5,1,"35.635275, -78.4489"
814642,100821155,Dayton,OH,45440,,,45440,Dayton,OH,39.674192,-84.11029,-5,1,"39.674192, -84.11029"
921689,100928202,Chesterfield,MO,63005,,,63005,Chesterfield,MO,38.646981,-90.63155,-6,1,"38.646981, -90.63155"
1641560,100684769,Avondale,AZ,85323,,,85323,Avondale,AZ,33.454441,-112.32401,-7,0,"33.454441, -112.32401"
1679364,101853511,Alpharetta,GA,30005,,,30005,Alpharetta,GA,34.080035,-84.21929,-5,1,"34.080035, -84.21929"
2247867,102301726,Davenport,FL,33896,,,33896,Loughman,FL,28.252198,-81.607612,-5,1,"28.252198, -81.607612"
2322478,100547703,Boxford,MA,1921,,,1921,Boxford,MA,42.677869,-71.00844,-5,1,"42.677869, -71.00844"
2331471,100873274,Georgetown,TX,78626,,,78626,Georgetown,TX,30.643058,-97.64713,-6,1,"30.643058, -97.64713"
943051,100949564,Pompano Beach,FL,33076,,,33076,Pompano Beach,FL,26.30116,-80.2731,-5,1,"26.30116, -80.2731"
1680827,101854520,Littleton,CO,80130,,,80130,Lone Tree,CO,39.541571,-104.92152,-7,1,"39.541571, -104.92152"
1693417,101842957,Brookfield,WI,53045,,,53045,Brookfield,WI,43.055315,-88.1503,-6,1,"43.055315, -88.1503"
